"PIT" "group" "Date.Time" "location" "week" "visit.duration" "leader.follower" "n_visits" "species" "age_in_2020" "season" "degree" "betweenness" "n_species" "flock_size" "species_prop"
"148" "01101778D1" "summer_1869" 200805174319 "Mill2" 14 3.6 "leader" 4 "GRETI" "adult" "summer" 58 12 2 2 1
"149" "01101778D1" "summer_48" 200721110341 "Mill2" 12 5.35 "follower" 2 "GRETI" "adult" "summer" 58 12 10 10 1
"150" "01101778D1" "summer_1865" 200805080800 "Mill2" 14 5.05 "follower" 1 "GRETI" "adult" "summer" 58 12 7 7 1
"151" "01101778D1" "summer_1505" 200804115419 "Mill2" 14 4.55 "leader" 1 "GRETI" "adult" "summer" 58 12 4 4 1
"152" "01101778D1" "summer_465" 200722071745 "Mill2" 12 0 "leader" 1 "GRETI" "adult" "summer" 58 12 1 1 1
"153" "01101778D1" "summer_1878" 200805163519 "Mill2" 14 3.58333333333333 "follower" 1 "GRETI" "adult" "summer" 58 12 11 11 1
"154" "01101778D1" "summer_1825" 200805122153 "Mill2" 14 9.46666666666667 "follower" 3 "GRETI" "adult" "summer" 58 12 5 6 0.833333333333333
"155" "01101778D1" "summer_1490" 200804154331 "Mill2" 14 5.71666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 4 5 0.8
"157" "01101778D1" "summer_1838" 200805122726 "Mill2" 14 5.01666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 6 8 0.75
"158" "01101778D1" "summer_787" 200728163535 "Mill2" 13 2.76666666666667 "follower" 2 "GRETI" "adult" "summer" 58 12 2 2 1
"159" "01101778D1" "summer_103" 200721105116 "Mill2" 12 1.98333333333333 "follower" 1 "GRETI" "adult" "summer" 58 12 3 4 0.75
"160" "01101778D1" "summer_1504" 200804115007 "Mill2" 14 0 "leader" 1 "GRETI" "adult" "summer" 58 12 1 1 1
"161" "01101778D1" "summer_1799" 200805171755 "Mill2" 14 4.7 "follower" 4 "GRETI" "adult" "summer" 58 12 5 5 1
"162" "01101778D1" "summer_814" 200728153217 "Mill2" 13 10.3333333333333 "follower" 1 "GRETI" "adult" "summer" 58 12 10 10 1
"163" "01101778D1" "summer_751" 200728113156 "Mill2" 13 6.11666666666667 "follower" 3 "GRETI" "adult" "summer" 58 12 5 5 1
"165" "01101778D1" "summer_1843" 200805174234 "Mill2" 14 0.85 "follower" 2 "GRETI" "adult" "summer" 58 12 2 2 1
"167" "01101778D1" "summer_1933" 200805150042 "Mill2" 14 4.78333333333333 "follower" 3 "GRETI" "adult" "summer" 58 12 7 7 1
"168" "01101778D1" "summer_121" 200721104914 "Mill2" 12 1.95 "follower" 2 "GRETI" "adult" "summer" 58 12 8 8 1
"169" "01101778D1" "summer_2129" 200806075622 "Mill2" 14 2.73333333333333 "leader" 6 "GRETI" "adult" "summer" 58 12 1 1 1
"170" "01101778D1" "summer_65" 200721141911 "Mill2" 12 9.41666666666667 "follower" 5 "GRETI" "adult" "summer" 58 12 8 9 0.888888888888889
"171" "01101778D1" "summer_498" 200722141326 "Mill2" 12 13.9 "follower" 1 "GRETI" "adult" "summer" 58 12 8 8 1
"172" "01101778D1" "summer_1884" 200805073249 "Mill2" 14 0 "leader" 1 "GRETI" "adult" "summer" 58 12 1 1 1
"173" "01101778D1" "summer_1479" 200804114413 "Mill2" 14 2.53333333333333 "follower" 1 "GRETI" "adult" "summer" 58 12 3 3 1
"175" "01101778D1" "summer_825" 200728152710 "Mill2" 13 2.56666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 3 3 1
"176" "01101778D1" "summer_1879" 200805144814 "Mill2" 14 4.11666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 8 8 1
"177" "01101778D1" "summer_1085" 200729145739 "Mill2" 13 2.1 "follower" 1 "GRETI" "adult" "summer" 58 12 2 2 1
"178" "01101778D1" "summer_1491" 200804132625 "Mill2" 14 9.76666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 7 8 0.875
"179" "01101778D1" "summer_1466" 200804100825 "Mill2" 14 1.58333333333333 "leader" 1 "GRETI" "adult" "summer" 58 12 2 2 1
"180" "01101778D1" "summer_1851" 200805164006 "Mill2" 14 4.76666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 10 10 1
"182" "01101778D1" "summer_768" 200728111916 "Mill2" 13 6.35 "leader" 3 "GRETI" "adult" "summer" 58 12 6 6 1
"183" "01101778D1" "summer_779" 200728191103 "Mill2" 13 0.0333333333333333 "leader" 1 "GRETI" "adult" "summer" 58 12 1 1 1
"184" "01101778D1" "summer_1477" 200804151019 "Mill2" 14 4.31666666666667 "follower" 1 "GRETI" "adult" "summer" 58 12 4 5 0.8
"186" "01101778D1" "summer_1124" 200729120405 "Mill2" 13 2.33333333333333 "leader" 1 "GRETI" "adult" "summer" 58 12 2 2 1
"187" "01101778D1" "summer_809" 200728141902 "Mill2" 13 4.86666666666667 "follower" 2 "GRETI" "adult" "summer" 58 12 5 5 1
"188" "0110177961" "summer_1486" 200804141931 "Mill2" 14 15.9333333333333 "follower" 2 "BLUTI" "adult" "summer" 28 0 4 15 0.266666666666667
"189" "0110177961" "summer_1886" 200805131319 "Mill2" 14 5.03333333333333 "follower" 1 "BLUTI" "adult" "summer" 28 0 3 10 0.3
"190" "0110177961" "summer_1920" 200805131512 "Mill2" 14 1.7 "leader" 2 "BLUTI" "adult" "summer" 28 0 2 5 0.4
"191" "0110177961" "summer_1473" 200804142228 "Mill2" 14 7.83333333333333 "leader" 2 "BLUTI" "adult" "summer" 28 0 1 8 0.125
"193" "01101779AA" "summer_1134" 200729180721 "Mill2" 13 11.25 "follower" 2 "GRETI" "adult" "summer" 50 28 3 4 0.75
"194" "01101779AA" "summer_1076" 200729100515 "Mill2" 13 5.58333333333333 "follower" 2 "GRETI" "adult" "summer" 50 28 5 6 0.833333333333333
"195" "01101779AA" "summer_1142" 200729100601 "Mill2" 13 0.0166666666666667 "leader" 1 "GRETI" "adult" "summer" 50 28 1 1 1
"196" "01101779AA" "summer_451" 200722153335 "Mill2" 12 7.28333333333333 "leader" 1 "GRETI" "adult" "summer" 50 28 4 4 1
"197" "01101779AA" "summer_2127" 200806064821 "Mill2" 14 2.63333333333333 "follower" 2 "GRETI" "adult" "summer" 50 28 4 4 1
"199" "01101779AA" "summer_1803" 200805120542 "Mill2" 14 8.61666666666667 "follower" 1 "GRETI" "adult" "summer" 50 28 6 7 0.857142857142857
"200" "01101779AA" "summer_1468" 200804145639 "Mill2" 14 3.53333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 2 3 0.666666666666667
"201" "01101779AA" "summer_100" 200721175206 "Mill2" 12 0.833333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 3 3 1
"202" "01101779AA" "summer_132" 200721110804 "Mill2" 12 3.68333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 5 5 1
"203" "01101779AA" "summer_68" 200721120808 "Mill2" 12 1.65 "leader" 1 "GRETI" "adult" "summer" 50 28 3 3 1
"205" "01101779AA" "summer_1863" 200805063409 "Mill2" 14 4 "follower" 1 "GRETI" "adult" "summer" 50 28 6 6 1
"206" "01101779AA" "summer_2135" 200806080907 "Mill2" 14 5.21666666666667 "follower" 4 "GRETI" "adult" "summer" 50 28 4 5 0.8
"207" "01101779AA" "summer_1494" 200804162714 "Mill2" 14 0 "leader" 1 "GRETI" "adult" "summer" 50 28 1 1 1
"208" "01101779AA" "summer_1854" 200805151934 "Mill2" 14 1.26666666666667 "follower" 1 "GRETI" "adult" "summer" 50 28 6 6 1
"209" "01101779AA" "summer_1853" 200805115955 "Mill2" 14 5.78333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 3 4 0.75
"211" "01101779AA" "summer_1465" 200804181411 "Mill2" 14 0.533333333333333 "leader" 1 "GRETI" "adult" "summer" 50 28 2 2 1
"212" "01101779AA" "summer_131" 200721151153 "Mill2" 12 3.85 "follower" 3 "GRETI" "adult" "summer" 50 28 7 7 1
"213" "01101779AA" "summer_2098" 200806065053 "Mill2" 14 0.85 "follower" 1 "GRETI" "adult" "summer" 50 28 3 3 1
"214" "01101779AA" "summer_759" 200728092216 "Mill2" 13 13.1666666666667 "leader" 1 "GRETI" "adult" "summer" 50 28 5 5 1
"216" "01101779AA" "summer_1368" 200730062205 "Mill2" 13 3.03333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 4 5 0.8
"217" "01101779AA" "summer_1848" 200805132444 "Mill2" 14 5.28333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 7 8 0.875
"218" "01101779AA" "summer_814" 200728153440 "Mill2" 13 10.3333333333333 "follower" 1 "GRETI" "adult" "summer" 50 28 10 10 1
"219" "01101779AA" "summer_1474" 200804134725 "Mill2" 14 8.9 "follower" 1 "GRETI" "adult" "summer" 50 28 6 6 1
"220" "01101779AA" "summer_789" 200728162933 "Mill2" 13 4.81666666666667 "follower" 1 "GRETI" "adult" "summer" 50 28 4 5 0.8
"221" "01101779AA" "summer_65" 200721141739 "Mill2" 12 9.41666666666667 "follower" 2 "GRETI" "adult" "summer" 50 28 8 9 0.888888888888889
"222" "01101779AA" "summer_147" 200721132014 "Mill2" 12 9.06666666666667 "follower" 1 "GRETI" "adult" "summer" 50 28 7 8 0.875
"224" "01101779AA" "summer_1890" 200805135942 "Mill2" 14 3.05 "follower" 1 "GRETI" "adult" "summer" 50 28 5 5 1
"225" "0110177ACE" "summer_363" 200721125812 "Mill6" 12 6.3 "follower" 1 "GRETI" "adult" "summer" 20 8 5 5 1
"226" "0110177ACE" "summer_344" 200721141827 "Mill6" 12 1.71666666666667 "leader" 4 "GRETI" "adult" "summer" 20 8 3 3 1
"227" "0110177ACE" "summer_680" 200722154043 "Mill6" 12 4.2 "follower" 2 "GRETI" "adult" "summer" 20 8 5 5 1
"229" "0110177ACE" "summer_155" 200721104624 "Mill2" 12 4.8 "follower" 3 "GRETI" "adult" "summer" 20 8 8 8 1
