"","PIT","degree","Date.Time","Antenna","location","week","group","visit.duration","leader.follower","species","age_in_2020","season","betweenness","group.size","n_species","flock_size","species_prop"
"20","0110175BD7",39,200721140844,"M","Mill2",12,92,3.46666666666667,"follower","GRETI","adult","summer",10,5,8,13,0.615384615384615
"21","0110175BD7",39,200729082801,"M","Mill2",13,1131,2.8,"follower","GRETI","adult","summer",10,3,6,11,0.545454545454545
"22","0110175E30",54,200729115702,"M","Mill2",13,1115,1.6,"follower","GRETI","adult","summer",17,2,10,21,0.476190476190476
"23","0110175E30",54,200806085226,"M","Mill2",14,2094,1.55,"follower","GRETI","adult","summer",17,2,3,4,0.75
"24","0110175E30",54,200729140113,"M","Mill2",13,1113,9.73333333333333,"follower","GRETI","adult","summer",17,6,14,24,0.583333333333333
"25","0110175E30",54,200804152341,"M","Mill2",14,1469,9.8,"follower","GRETI","adult","summer",17,11,12,17,0.705882352941177
"26","0110175E30",54,200805065137,"M","Mill2",14,1821,0.883333333333333,"leader","GRETI","adult","summer",17,3,5,11,0.454545454545455
"27","0110175E30",54,200730073745,"M","Mill2",13,1342,0.633333333333333,"leader","GRETI","adult","summer",17,1,3,5,0.6
"28","0110175E30",54,200721134300,"M","Mill2",12,59,3.38333333333333,"follower","GRETI","adult","summer",17,6,12,19,0.631578947368421
"29","0110175E30",54,200806085442,"M","Mill2",14,2130,0.283333333333333,"leader","GRETI","adult","summer",17,1,1,3,0.333333333333333
"30","0110175E30",54,200805092603,"M","Mill2",14,1861,1.16666666666667,"follower","GRETI","adult","summer",17,5,7,11,0.636363636363636
"31","0110175E30",54,200729115145,"M","Mill2",13,1138,7.36666666666667,"follower","GRETI","adult","summer",17,4,9,14,0.642857142857143
"32","0110175E30",54,200805064900,"M","Mill2",14,1862,3.43333333333333,"follower","GRETI","adult","summer",17,3,3,7,0.428571428571429
